table_name,column_ordinal,column_name,declared_type,is_not_null,pk_position
ORD_ROProduct,9,LastUpdatedBy,varchar(50),1,0
ORD_ROProduct,10,LastUpdatedOn,datetime2(2),1,0
ORD_ROProduct,18,ExpectedDeliveryDate,date,0,0
ORD_ROProductChangeRequest,9,LastUpdatedBy,varchar(50),1,0
ORD_ROProductChangeRequest,10,LastUpdatedOn,datetime2(2),1,0
ORD_ROProductGhost,10,LastUpdatedBy,varchar(50),1,0
ORD_ROProductGhost,11,LastUpdatedOn,datetime2(2),1,0
ORD_ROProductIME,8,LastUpdatedBy,varchar(50),1,0
ORD_ROProductIME,9,LastUpdatedOn,datetime2(2),1,0
ORD_RetailOrder,0,RetailOrderID,INT,1,0
ORD_RetailOrder,1,OrderStatusID,INT,1,0
ORD_RetailOrder,2,RONumber,varchar(40),1,0
ORD_RetailOrder,3,ROTypeID,INT,0,0
ORD_RetailOrder,4,RODate,date,1,0
ORD_RetailOrder,5,ProjectNumber,varchar(40),0,0
ORD_RetailOrder,6,CurrencyCode,varchar(3),0,0
ORD_RetailOrder,7,VendorNumber,varchar(40),0,0
ORD_RetailOrder,8,SalesAssocNumber,varchar(20),0,0
ORD_RetailOrder,9,SalesAssocName,nvarchar(100),0,0
ORD_RetailOrder,10,DealerPhone,varchar(25),0,0
ORD_RetailOrder,11,DealerNumber,varchar(32),0,0
ORD_RetailOrder,12,CustomerName,varchar(50),0,0
ORD_RetailOrder,13,CustomerZip,varchar(20),0,0
ORD_RetailOrder,14,MeasureDate,datetime,0,0
ORD_RetailOrder,15,EnterTemplateDate,datetime,0,0
ORD_RetailOrder,16,ScheduledInstallDate,datetime,0,0
ORD_RetailOrder,17,AssignedCompanyID,INT,0,0
ORD_RetailOrder,18,CreatedBy,varchar(50),1,0
ORD_RetailOrder,19,CreatedOn,datetime2(2),1,0
ORD_RetailOrder,20,LastUpdatedBy,varchar(50),1,0
ORD_RetailOrder,21,LastUpdatedOn,datetime2(2),1,0
ORD_RetailOrder,22,GUID,uniqueidentifier,1,0
ORD_RetailOrder,23,ActualInstallDate,date,0,0
ORD_RetailOrder,24,DealerCompanyID,INT,0,0
ORD_RetailOrder,25,ShipPayMethod,varchar(5),0,0
ORD_RetailOrder,26,CabinetFlag,bit,0,0
ORD_RetailOrder,27,CabinetDate,datetime,0,0
ORD_RetailOrder,28,EDIStatusID,INT,0,0
ORD_RetailOrder,29,ProductLineID,INT,0,0
